index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)
159	0.99	472.63265939417056	0.28494528619528603	204.71632424160927	159	116.92232362689393
160	0.99525	487.4256189239997	0.2826927907560912	214.1525914771091	160	119.2752127292138
161	0.97	463.43298735109835	0.2819458762886594	212.32147093546203	161	121.294258366221
162	0.98275	484.6086517006605	0.28474942762655797	207.1873166071895	162	119.33525232460467
163	0.99575	490.2334855441757	0.29704577788936304	186.75142954997474	163	120.33574767959139
164	0.94425	433.99326661226587	0.2857867796311002	202.4892082432392	164	118.23043286255621
165	0.9975	501.4641748463148	0.2855096073517123	205.79786521910722	165	117.74444788729639
166	0.99875	492.05567188073826	0.28754276178556537	203.5881634631675	166	116.94339662859828
167	0.9925	470.2899924184921	0.28648194794290505	202.76739645491892	167	116.783853363114
168	0.9865	474.5069745069346	0.28570282142253733	205.78918096483332	168	116.93166680855614
169	0.99675	492.53841972619864	0.2902182091798343	196.41250223514766	169	117.47128249819728
170	0.99325	478.9516829009306	0.28455407332829924	208.43776481468265	170	117.82990475422646
171	0.99325	478.1159367967667	0.28409682020303695	206.9912058833868	171	115.88636522437913
172	0.99325	477.6101460599684	0.2861313868613138	204.25846597058478	172	116.6696509053297
173	0.961	430.15565726305823	0.29323621227887614	186.9050321218247	173	116.82881667249285
174	0.989	473.7213952986892	0.28428126053252417	207.05101971814622	174	116.62295489643894
175	0.9835	469.70330129543936	0.29067530926961516	196.44432379374487	175	116.88606405098182
176	0.973	465.01069333424	0.2876070572113738	200.92944639665276	176	117.98482534285075
177	0.98	465.0224800407721	0.28926870748299305	195.93629362519783	177	116.7537723214286
178	0.98525	465.1684332286671	0.28929205785333645	198.1461859900121	178	118.50599244124268
179	0.98625	471.4895244469751	0.28284326151246286	211.8265659924433	179	120.05554954847912
180	0.9885	477.6862299756553	0.29121143146181083	191.0729839724235	180	117.8857294926815
181	0.9545	438.52797941739783	0.2855159769512833	202.76176783807597	181	116.3399380299731
